Model,Accuracy,AUC Score,Precision,Recall,F1 Score,MCC
Logistic Regression,0.7767395294510262,0.7628815136346111,0.49603174603174605,0.5656108597285068,0.5285412262156448,0.3845183418600185
Decision Tree Classifier,0.7300183547472051,0.6037262690674001,0.38699690402476783,0.3770739064856712,0.3819709702062643,0.20932150890713205
KNN Classifier,0.7950942766560988,0.6950212993835929,0.5617128463476071,0.33634992458521873,0.4207547169811321,0.32052603177893896
Gaussian Naive Bayes,0.7964291673619223,0.7336525089836828,0.653179190751445,0.17043740573152338,0.2703349282296651,0.2575651779202823
Random Forest Classifier,0.8144501918905389,0.763126728827708,0.654178674351585,0.34238310708898945,0.4495049504950495,0.37743709595291497
